Name,Address,City,State/Province/Region,Country,Postal Code,Latitude,Longitude,Cost,Phone,Email,Images,Website,Description
Primland Resort,2000 Busted Rock Road,Meadows of Dan,Virginia,United States,24120,36.736389,-80.395278,,+1 866.960.7746,reservations@primland.com,,https://primland.com/,
Ka'anapali Beach Resort ,,Ka’anapali,Hawai’i,United States,,20.934722,-156.679444,,+1 808.661.3271,info@kaanapaliresort.com,,https://kaanapaliresort.com/tag/tour-of-the-stars/,
Trout Point Lodge,189 Trout Point Rd,East Kemptville,Nova Scotia,Canada,NS B5A 5X9,44.092778,-65.759444,,+1 902 761 2142,info@troupoint.com,,https://www.troutpoint.com/star-gazing.html,
Spring Creek Ranch,1600 N. East Butte Road,Jackson,Wyoming,United States,83001,43.516667,-110.833333,,+1 800 443.6139 ,,,https://www.springcreekranch.com/,
Grand Velas Los Cabos,"México 1 Km 17, Tourist Corridor, Corredor Turístico",Cabo San Lucas,Baja California Sur,Mexico,23405,22.9676793,-109.7920686,,+52 624 104.9800,reservationslc@velasresorts.com,,https://loscabos.grandvelas.com/offers/stargazing-package,
Finch Bay Galapagos Hotel,,Puerto Ayora,Santa Cruz,Ecuador,,0.6394,-90.3372,,+593 2.298.8311,info@finchbayhotel.com,,https://www.finchbayhotel.com/blog/stargazing-in-the-galapagos/,
Elqui Domos,"Camino Publico Pisco Elqui a Horcon, Km 3.5",Paihuano,Pisco Elqui,Chile,,-30.123611,-70.493333,,+56 9 7709 2879,reservas@elquidomos.cl,,https://milodge.com/en/elqui-domos/hotel-y-servicios/,
Hotel Ranga,851 Hella,,,Iceland,,63.7807027777778,-20.2996833333333,,+354 487 5700,hotelranga@hotelranga.is,,https://www.hotelranga.is/,
L’ands Vineyards,"Estrada Nacional 4, Herdade das Valadas APARTADO 122,",,Montemor-o-Novo,Portugal,7050-909 ,38.6451,-8.2567,,+351 266 242 400,reservas@l-and.com,,http://www.l-and.com/en/suites,
3100 Kulmhotel Gornergrat,Gornergrat 3100 m,,Zermatt,Switzerland,3920,45.983333,7.783611,,+41 27 966 64 00,gornergrat.kulm@matterhorn-group.ch,,https://gornergrat-kulm.ch/en/hotel-2/gornergrat-planetarium/,
Kakslauttanen Arctic Resort,Kiilopääntie 9,Saariselkä,,Finland,99830,68.3342349,27.3347501,,,reservations@kakslauttanen.fi,,https://www.kakslauttanen.fi/,
Carlo Magno Hotel SPA Resort ,,Pinzolo,Madonna di Campiglio,Italy,,46.243,10.84,,+39 0465 441010 ,info@hotelcarlomagno.com ,,http://www.hotelcarlomagno.com/en/hotel/astronomy,
Hotel Bahía del Duque,,Tenerife,Canary Islands,Spain,,28.09305556,-16.74222222,,+34 922 74 69 81 ,club.house@bahia-duque.com,,https://thetaishotels.com/bahia-del-duque/activities/experiences/,
Argonz Etxea,"Calle Irigoiena, 21, ",Urzainqui,Navarra,Spain,31416,42.8317,-0.9453,,+34 6 49882595,argonzetxea@gmail.com,,https://www.argonzetxea.com/es/1688/Alojamiento-Starlight/-,
Soneva Kiri,"110 Moo 4, Koh Kood Sub-District, Koh Kood District",,Trat,Thailand,,11.658333,102.542222,,+66 0 82208 8888,,,https://www.soneva.com/soneva-kiri/experiences/,
Soneva Jani,Medhufaru Island ,,Noonu Atoll,Maldives,,5.833333,73.3,,+960 656 6666 ,,,https://www.soneva.com/soneva-jani/experiences/,
Soneva Fushi,Kunfunadhoo Island,,Baa Atoll,Maldives,,5.133333,72.95,,+960 660 0304-05,,,https://www.soneva.com/soneva-fushi/experiences/,
Anantara Kihavah,Kihavah Huravalhi Island,,,Maldives,,5.2959,73.0571,,+960 660-1020,,,https://www.anantara.com/en/kihavah-maldives/experiences/stargazing-at-sky-bar,
Astroport Sariska,"Roopbas, Tehla",Tehla,Rajasthan,India,,27.24394,76.40858,,+91 927 8767 700,info@astroportindia.com,,https://www.astroportindia.com/our-locations/astroport-sariska,
Astroport Jog Falls,"The Thash, B H Road Thyagarthi main road","Sagar, Jambagar",Karnataka,India,,14.1670792,75.074143,,+91 927 8767 700,info@astroportindia.com,,https://www.astroportindia.com/our-locations/astroport-jog-falls,
Astroport Ranthambore,,,,India,,,,,+91 927 8767 700,info@astroportindia.com,,https://www.astroportindia.com/our-locations/astroport-ranthambore,
Astroport Kanha,,,,India,,22.159046,80.577931,,+91 927 8767 700,info@astroportindia.com,,https://www.astroportindia.com/our-locations/astroport-kanha,
Astroport Jaipur,,,,India,,,,,+91 927 8767 700,info@astroportindia.com,,https://www.astroportindia.com/our-locations/astroport-jaipur,
Gangtey Lodge ,,,Gangtey (Phobjikha) Valley,Bhutan,,27.4922,90.166,,+975 02 34 0943,RES@GGLBHUTAN.COM,,https://www.gangteylodge.com/,
Pengheng Space Capsule Hotel,Xixiang Ave,Bao'an,"Shenzhen, Guangdong",China,,22.572859,113.861988,,+86 755 2766 0088,2917368487@qq.com,,https://www.penghengspacecapsuleshotel.com/zh-cn,
Sanctuary Baines’ Camp,,,,Botswana,,-19.581045,23.21749,,,,,https://www.sanctuaryretreats.com/botswana-camps-baines,
Hotel SaharaSky,,,Zagora,Morocco,,30.236861,-5.607984,,+212 5248 48562,resa@saharasky.com,,http://www.saharasky.net/hotel/,
Sossusvlei Lodge,D826,Sesriem,,Namibia,,-24.4837564,15.8025553,,+27 21 930 4564,reservations@sossusvleilodge.com,,https://www.sossusvleilodge.com/,
Leobo Private Reserve,,Vaalwater,,South Africa,,-24.1565209,28.3994819,,+27 78 139 0094,,,https://leoboprivatereserve.com/astronomy/,
Ayers Rock Resort,170 Yulara Dr,Yulara,Northern Territory,Australia,,-25.2377186,130.9859657,,+61 2 8296 8010,travel@voyages.com.au,,https://www.ayersrockresort.com.au/,
