name,city,state,country,position,Latitude,Longitude,type,designation,images,website,description,radius
Beverly Shores,Beverly Shores,Indiana,United States,"[ -86.985556, 41.684167 ]",41.684167,-86.985556,Community,2014,{},http://www.beverlyshoresindiana.org/,,50000
Big Park / Village of Oak Creek,Oak Creek,Arizona,United States,"[ -111.761111, 34.783056 ]",34.783056,-111.761111,Community,2016,{},http://www.vocaonline.com/,,50000
Bon Accord,Bon Accord,Alberta,Canada,"[  -113.418889,  53.832778]",53.832778,-113.418889,Community,2016,{},https://www.bonaccord.ca/,,50000
Borrego Springs,Borrego Springs,California,United States,"[  -116.371944,  33.247222]",33.247222,-116.371944,Community,2009,{},http://www.abdnha.org/borregodarksky/index.htm,,50000
Camp Verde,Camp Verde,Arizona,United States,"[-111.856111 , 34.566667 ]",34.566667,-111.856111,Community,2018,{},http://www.campverde.az.gov/,,50000
Coll,,,Scotland,"[ -6.557222,  56.633333 ]",56.633333,-6.557222,Community,2013,{},http://darkskycoll.co.uk/,,50000
Dripping Springs,Dripping Springs,Texas,United States,"[-98.085278, 30.191944 ]",30.191944,-98.085278,Community,2014,{},http://www.cityofdrippingsprings.com/,,50000
Flagstaff,Flagstaff,Arizona,United States,"[-111.631111, 35.199167 ]",35.199167,-111.631111,Community,2001,{},https://www.flagstaffarizona.org/,,50000
Fountain Hills,Fountain Hills,Arizona,United States,"[-111.72, 33.6 ]",33.6,-111.72,Community,2018,{},http://fhdarksky.com/,,50000
Fulda,Fulda,"Hesse, Kessel",Germany,"[9.675278, 50.550833 ]",50.550833,9.675278,Community,2019,{},https://www.fulda.de/,,50000
Homer Glen,Homer Glen,Illinois,United States,"[ -87.941389, 41.622778 ]",41.622778,-87.941389,Community,2011,{},http://www.homerglenil.org/,,50000
Horseshoe Bay,Horseshoe Bay,Texas,United States,"[-98.368333,  30.544722]",30.544722,-98.368333,Community,2015,{},http://www.horseshoe-bay-tx.gov/,,50000
Ketchum,Ketchum,Idaho,United States,"[ -114.371667, 43.681111 ]",43.681111,-114.371667,Community,2017,{},https://ketchumidaho.org/,,50000
Moffat,Moffat,Dumfries,Scotland,"[ -3.442, 55.332]",55.332,-3.442,Community,2016,{},https://www.visitmoffat.co.uk/,,50000
M�n ,Vordingborg,Region Zealand,Denmark,"[12.333333, 55 ]",55,12.333333,Community,2017,{},https://darksky-moen.dk/da/,,50000
Nyord,Vordingborg,,Denmark,"[12.216667, 55.05 ]",55.05,12.216667,Community,2017,{},https://darksky-moen.dk/da/,,50000
Norwood,Norwood,Colorado,United States,"[-108.291389,  38.131111]",38.131111,-108.291389,Community,2019,{},https://norwoodcolorado.com/,,50000
Sark,Sark,Bailiwick of Guernsey,United Kingdom,"[ -2.360833, 49.433056]",49.433056,-2.360833,Community,2011,{},http://www.sark.co.uk/,,50000
Sedona,Sedona,Arizona,United States,"[ -111.761111, 34.869722 ]",34.869722,-111.761111,Community,2014,{},https://visitsedona.com/,,50000
Thunder Mountain Pootseev,Kaibab Indian Reservation,Arizona,United States,"[ -112.679444, 36.912778]",36.912778,-112.679444,Community,2015,{},https://www.kaibabpaiute-nsn.gov/,,50000
Torrey,Torrey,Utah,United States,"[-111.419167, 38.298889 ]",38.298889,-111.419167,Community,2018,{},https://www.torreyutah.gov/,,50000
Westcliffe,Westcliffe,Colorado,United States,"[ -105.465833, 38.132778]",38.132778,-105.465833,Community,2015,{},https://www.darkskiescolorado.org/,,50000
Silver Cliff,Westcliffe,Colorado,United States,"[ -105.439444, 38.136389]",38.136389,-105.439444,Community,2015,{},https://www.darkskiescolorado.org/,,50000
Wimberley Valley,Wimberley Valley,Texas,United States,"[-98.100833, 29.995556 ]",29.995556,-98.100833,Community,2018,{},https://wimberley.org/,,50000
Albanyà,Albanyà,Girona,Spain,"[ 2.723, 42.307]",42.307,2.723,Park,2017,{},https://www.bassegodapark.com/en/astronomy-observatory/observatori-astronomic-albanya/familiar-camping-bungalows-girona,,50000
Antelope Island State Park,Davis County,Utah,United States,"[-112.21, 40.95 ]",40.95,-112.21,Park,2017,{},https://stateparks.utah.gov/parks/antelope-island/,,50000
Anza-Borrego Desert State Park,Borrego Springs ,California,United States,"[ -116.399167, 33.259167]",33.259167,-116.399167,Park,2018,{},https://www.parks.ca.gov/?page_id=638,,50000
Arches National Park,Grand County,Utah,United States,"[-109.56667, 38.68333 ]",38.68333,-109.56667,Park,2019,{},https://www.nps.gov/arch/learn/nature/lightscape.htm,,50000
Ballycroy National Park and Wild Nephin Wilderness,County Mayo,,Ireland,"[ -9.7, 54.017]",54.017,-9.7,Park,2016,{},http://www.mayodarkskypark.ie/,,50000
Big Bend National Park,Chihuahuan Desert,Texas,United States,"[-103.25, 29.25 ]",29.25,-103.25,Park,2012,{},https://www.nps.gov/bibe/planyourvisit/stargazing.htm,,50000
Big Bend Ranch State Park,Presidio County,Texas,United States,"[ -104.154444, 29.530556]",29.530556,-104.154444,Park,2017,{},https://tpwd.texas.gov/state-parks/big-bend-ranch/dark-skies,,50000
Big Cypress National Preserve,Everglades City,Florida,United States,"[ -81.033889,  25.858889]  ",25.858889,-81.033889,Park,2016,{},https://www.nps.gov/bicy/planyourvisit/astronomy-programs.htm,,50000
Black Canyon of the Gunnison National Park,Montrose County,Colorado,United States,"[ -107.716667, 38.566667]",38.566667,-107.716667,Park,2015,{},https://www.nps.gov/blca/planyourvisit/astronomy.htm,,50000
Bodmin Moor Dark Sky Landscape,,Cornwall,England,"[ -4.6132, 50.5625]",50.5625,-4.6132,Park,2017,{},https://www.cornwall-aonb.gov.uk/bodminmoor/,,50000
Bryce Canyon National Park,Garfield County,Utah,United States,"[ -112.16766, 37.6283]",37.6283,-112.16766,Park,2019,{},https://www.nps.gov/brca/planyourvisit/astrofest.htm,,50000
Buffalo National River,,Arkansas,United States,"[ -92.426111, 36.178056]",36.178056,-92.426111,Park,2019,{},https://www.nps.gov/buff/planyourvisit/night-sky-viewing.htm,,50000
Bükk National Park,Miskolc,Borsod-Abaúj-Zemplén,Hungary,"[ 20.528, 48.048]",48.048,20.528,Park,2017,{},http://en.bnpi.hu/,,50000
Canyonlands National Park,Moab,Utah,United States,"[-109.75966, 38.16691 ]",38.16691,-109.75966,Park,2015,{},https://www.nps.gov/cany/planyourvisit/stargazing.htm,,50000
Capitol Reef National Park,Torrey,Utah,United States,"[ -111.166667, 38.2 ]",38.2,-111.166667,Park,2015,{},https://www.nps.gov/care/index.htm,,50000
Capulin Volcano National Monument,Union County,New Mexico,United States,"[ -103.97, 36.782222 ]",36.782222,-103.97,Park,2016,{},https://www.nps.gov/cavo/planyourvisit/astronomy.htm,,50000
Cedar Breaks National Monument,Iron County,Utah,United States,"[ -112.848832, 37.642478 ]",37.642478,-112.848832,Park,2017,{},https://www.nps.gov/cebr/star-gazing.htm,,50000
Chaco Culture National Historical Park,San Juan County,New Mexico,United States,"[ -107.97, 36.06]",36.06,-107.97,Park,2013,{},https://www.nps.gov/chcu/planyourvisit/nightsky.htm,,50000
Cherry Springs State Park,Potter County,Pennsylvania,United States,"[-77.823056, 41.662778 ]",41.662778,-77.823056,Park,2008,{},https://cherryspringsstatepark.com/stargazing/,,50000
Copper Breaks State Park,Hardeman County,Texas,United States,"[-99.7525, 34.111389 ]",34.111389,-99.7525,Park,2014,{},https://tpwd.texas.gov/state-parks/copper-breaks/cb_stargazing,,50000
Craters Of The Moon National Monument,Arco,Idaho,United States,"[ -113.5002, 43.2058 ]",43.2058,-113.5002,Park,2017,{},https://www.nps.gov/crmo/learn/nature/night-sky.htm,,50000
De Boschplaat,Oosterend,Terschelling,Netherlands,"[5.4671, 53.428 ]",53.428,5.4671,Park,2015,{},https://naarterschelling.com/bezienswaardigheden/de-boschplaat,,50000
Dead Horse Point State Park,Grand County,Utah,United States,"[ -109.742222, 38.508333]",38.508333,-109.742222,Park,2016,{},https://stateparks.utah.gov/parks/dead-horse/night-sky/,,50000
Death Valley National Park,Inyo County,California,United States,"[ -116.825833, 36.241944]",36.241944,-116.825833,Park,2013,{},https://www.nps.gov/deva/learn/nature/lightscape.htm,,50000
Dinosaur National Monument,,"Colorado, Utah",United States,"[-108.983333, 40.533333 ]",40.533333,-108.983333,Park,2019,{},https://www.nps.gov/dino/planyourvisit/stargazing.htm,,50000
Eifel National Park,,North Rhine-Westphalia,Germany,"[ 6.433333, 50.616667]",50.616667,6.433333,Park,2014,{},https://www.nationalpark-eifel.de/de/nationalpark-erleben/sternenpark/,,50000
Elan Valley Estate,,Radnorshire ,Wales,"[-3.588611, 52.262222 ]",52.262222,-3.588611,Park,2015,{},https://www.elanvalley.org.uk/darkskies,,50000
Enchanted Rock State Natural Area,Fredericksburg,Texas,United States,"[ -98.818931, 30.506579]",30.506579,-98.818931,Park,2014,{},https://tpwd.texas.gov/state-parks/enchanted-rock/more-info/dark-skies,,50000
Flagstaff Area National Monuments,Coconino County,Arizona,United States,"[-111.386944, 35.565556 ]",35.565556,-111.386944,Park,2016,{},https://www.nps.gov/wupa/learn/management/flag_parks.htm,,50000
Fort Union National Monument,Mora County,New Mexico,United States,"[-105.015, 35.907 ]",35.907,-105.015,Park,2019,{},https://www.nps.gov/foun/index.htm,,50000
Geauga Observatory Park,Montville,Ohio,United States,"[ -81.296738, 41.529937 ]",41.529937,-81.296738,Park,2011,{},https://www.geaugaparkdistrict.org/park/observatory-park/,,50000
Goblin Valley State Park,Emery County ,Utah,United States,"[-110.71, 38.566667 ]",38.566667,-110.71,Park,2016,{},https://stateparks.utah.gov/parks/goblin-valley/night-skies/,,50000
Grand Canyon National Park,Coconino County,Arizona,United States,"[-112.121836, 36.055261 ]",36.055261,-112.121836,Park,2016,{},https://www.nps.gov/grca/index.htm,,50000
Grand Canyon-Parashant National Monument,Mohave County,Arizona,United States,"[-113.7,  36.4]",36.4,-113.7,Park,2014,{},https://www.nps.gov/para/planyourvisit/astronomy.htm,,50000
Great Basin National Park,White Pine County,Nevada,United States,"[-114.21969, 39.00581 ]",39.00581,-114.21969,Park,2016,{},https://www.nps.gov/grba/planyourvisit/great-basin-night-sky.htm,,50000
Great Sand Dunes National Park and Preserve,Alamosa County,Colorado,United States,"[-105.51212, 37.73287 ]",37.73287,-105.51212,Park,2019,{},https://www.nps.gov/grsa/planyourvisit/experiencethenight.htm,,50000
The Headlands,Emmett County,Michigan,United States,"[ -84.783333, 24.181389 ]",45.783333,-84.783333,Park,2011,{},http://www.midarkskypark.org/,,50000
Hehuanshan,Ren’ai Township,Nantou County,Taiwan,"[ 121.281389,  24.181389]",24.181389,121.281389,Park,2019,{},https://hehuandsp.nantou.gov.tw/,,50000
Hortobágy National Park,Borsod-Abaúj-Zemplén County,,Hungary,"[ 21.1, 47.6]",47.6,21.1,Park,2011,{},https://www.hnp.hu/en/szervezeti-egyseg/tourism/oldal/world-heritage-site-and-also-an-international-dark-sky-park,,50000
