Name,Address,City,State/Province/Region,Country,Postal Code,Latitude,Longitude,Cost,Phone,Email,Images,Website,Description
Space Coast,,,Florida,United States,,28.388333,-80.603611,,+1 321-433-4470,,,https://www.visitspacecoast.com/,
Space Camp,1 Tranquility Base,Huntsville,Alabama,United States,,34.7111447,-86.6537279,,,,,https://www.spacecamp.com/,
Star City,,Zvyozdny gorodok,Moscow Oblast,Russia,,55.880585,38.110542,,,,,http://starcity-tours.com/,
Asgardia,,,,,,,,,,,,https://asgardia.space/en/,
Roswell,,Roswell,New Mexico,United States,,33.387222,-104.528056,,+1 575-623-3442,,,https://seeroswell.com/,
Cosmosphere,1100 N Plum St,Hutchinson,Kansas,United States,,38.0658028,-97.9215467,,,,,https://cosmo.org/,
New Mexico Museum of Space History,3198 State Rte 2001,Alamogordo,New Mexico,United States,,32.9211535,-105.9208321,,+1 575-437-2840,,,http://www.nmspacemuseum.org/,
Armstrong Air & Space Museum,500 Apollo Dr,Wapakoneta,Ohio,United States,,40.5639715,-84.1714723,,+1 419-738-8811,,,https://armstrongmuseum.org/,
Tulsa Air and Space Museum & Planetarium,3624 N 74th E Ave,Tulsa,Oklahoma,United States,,36.2067942,-95.8956664,,+1 918-834-9900,,,https://www.tulsamuseum.org/,
American Space Museum & Walk of Fame,308 Pine St,Titusville,Florida,United States,,28.6104213,-80.8087876,,+1 321-264-0434,,,http://spacewalkoffame.org/,
National Air and Space Museum,600 Independence Ave SW,Washington,District of Columbia,United States,,38.8881601,-77.0198679,,+1 202-633-2214,,,https://airandspace.si.edu/,
Cosmodome,2150 Laurentian Autoroute,Laval,Quebec,Canada,,45.566761,-73.743908,,+1 450-978-3600,,,https://www.cosmodome.org/en/,
The Franklin Institute,222 N 20th St,Philadelphia,Pennsylvania,United States,,39.9582109,-75.1731347,,+1 215-448-1200,,,https://www.fi.edu/space,
Herschel Museum of Astronomy,19 New King Street,Bath,,United Kingdom,,51.3825189,-2.3669641,,+44 1225 446865,,,https://herschelmuseum.org.uk/,
Gravity Discovery Centre,1098 Military Rd,Yeal,Western Australia,Australia,,-31.355786,115.712714,,+62 08 95757577,,,https://gravitycentre.com.au/,
National Space Centre,Exploration Dr,Leicester,,United Kingdom,,52.6536853,-1.1315871,,+44 116 261 0261,,,https://spacecentre.co.uk/,
Museum of Science and the Cosmos,"Av. de los Menceyes, 70, 38205",San Crist�bal de La Laguna, Santa Cruz de Tenerife,Spain,,28.4756393,-16.3088875,,+34 922 31 52 65,,,https://www.museosdetenerife.org/mcc-museo-de-la-ciencia-y-el-cosmos,
Tycho Brahe Museum,"Landsv�gen 186, 260 13 Sankt IBB",,,Sweden,,55.9082004,12.6955606,,+46 418 47 31 09,,,tychobrahe.com,
Kepler Museum,,,Prague,Czech Republic,,50.085972,14.414861,,+49 7033 6586,,,https://www.keplerovomuzeum.cz/,
Kroppedal,"Kroppedals Alle 3, 2630",Taastrup,,Denmark,,55.6844839,12.3115573,,+45 43 30 30 00,,,https://kroppedal.dk/,
Hong Kong Space Museum,10 Salisbury Rd,,Tsim Sha Tsui,Hong Kong,,22.294288,114.171901,,+852 2721 0226,,,https://www.lcsd.gov.hk/CE/Museum/Space/en_US/web/spm/whatsnew.html,
Museum of Astronomy and Related Sciences,"R. Gen. Bruce, 586 - Vasco da Gama",Rio de Janeiro,Rio de Janeiro,Brazil,,-22.8959169,-43.2227535,,+55 21 3514-5200,,,http://www.mast.br/pt-br/,
Adler Planetarium,1300 S Lake Shore Dr,Chicago,Illinois,United States,,41.866333,-87.6067829,,+1 312-922-7827,,,https://www.adlerplanetarium.org/,
Museo de Astronomía Prehispánica,Calle Principal #10,Agustín González,Guanajuato,Mexico,,20.8581813,-100.850959,,+52 415 103 0003,,,https://www.facebook.com/astronomiaprehispanica,
Kaohsiung Astronomical Museum,Xiaogang District,Kaohsiung City,,Taiwan,,22.568069,120.3352303,,+886 7-813-1506,,,,
Taipei Astronomical Museum,"No. 363號, Jihe Road, Shilin District",Taipei City,,Taiwan,,25.0958292,121.5182994,,+886 2 2831 4551,,,https://www.tam.gov.taipei/,
Vietnam National Space Center,"18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy",Hà Nội,,Vietnam,,21.0480279,105.8015046,,+84 24 3791 7675,,,https://vnsc.org.vn/en/,
Quito Astronomical Observatory,"Av Gran Colombia y 10 de Agosto. Dentro del Parque de la Alameda., Av. Gran Colombia",Quito ,,Ecuador,,-0.2148967,-78.502529,,+593 2-297-6300 ,,,http://oaq.epn.edu.ec/,
